Industry,Stage,Country,Funds_Raised,Cash_Reserves,Profit_Margin,Revenue_Growth,Laid_Off
Other,Post-IPO,United States,426.0,924900000.0,0.1090874775879966,0.07148634984833158,0
Other,Post-IPO,United States,426.0,1792100000.0,0.12142476461183159,0.0623761441917523,0
Other,Post-IPO,United States,426.0,1764000000.0,0.07356340819022457,0.07585716823592104,0
Other,Post-IPO,United States,426.0,1585000000.0,0.12478632478632479,-0.034015852047556194,0
Other,Post-IPO,United States,426.0,1525000000.0,0.15036378334680678,0.057264957264957284,0
Other,Post-IPO,United States,426.0,1804000000.0,0.1546875,0.0347615198059823,1
Other,Post-IPO,United States,426.0,2072000000.0,0.22230652503793627,0.02968750000000009,1
Finance,Post-IPO,United States,1500.0,1014400000.0,-0.13041496561965488,0.045112804036393284,0
Finance,Post-IPO,United States,1500.0,1014400000.0,-1.2444497431339823,0.1304835792806347,0
Finance,Post-IPO,United States,1500.0,520741000.0,-0.47146458858583545,0.1348925931545748,0
Finance,Post-IPO,United States,1500.0,1623672000.0,-1.1382036861740632,0.029051111620444603,0
Finance,Post-IPO,United States,1500.0,3042780000.0,-0.44246574204110123,0.34013029678712625,0
Finance,Post-IPO,United States,1500.0,2878960000.0,-0.1541061331258703,-0.017309721864430694,0
Finance,Post-IPO,United States,1500.0,2850544000.0,-0.5118884806142794,0.026417711028802415,0
Finance,Post-IPO,United States,1500.0,2767423000.0,-0.6948349667057496,-0.006893066838032147,1
Finance,Post-IPO,United States,1500.0,2355256000.0,-0.8069842175604043,0.10489901112758004,1
Finance,Post-IPO,United States,1500.0,2100891000.0,-0.34595516637901347,0.11377109852520606,1
Finance,Post-IPO,United States,1500.0,1950788000.0,-0.28235353825853055,0.1904411868362914,1
Security,Post-IPO,United States,35.0,1444036000.0,0.20006810915122122,0.045112804036393284,0
Security,Post-IPO,United States,35.0,1098073000.0,0.13396164658088805,0.06740535665861547,0
Security,Post-IPO,United States,35.0,1288059000.0,0.18475557369812556,-0.004229061772188403,0
Security,Post-IPO,United States,35.0,1416488000.0,0.18350445109424687,0.012004158023894318,0
Security,Post-IPO,United States,35.0,1917285000.0,0.20796133590133123,0.008804864778664712,0
Security,Post-IPO,United States,35.0,1078195000.0,0.17731549287685092,0.05233438680138969,0
Security,Post-IPO,United States,35.0,506869000.0,0.14759745785688438,-0.0018898601437221663,0
Security,Post-IPO,United States,35.0,690689000.0,0.15259063113008284,-0.0003485874462041405,0
Security,Post-IPO,United States,35.0,864148000.0,0.14025916888159148,-0.023729924324611518,0
Security,Post-IPO,United States,35.0,1425847000.0,0.13878520639074607,0.05202767673285735,1
Security,Post-IPO,United States,35.0,751913000.0,0.10604587975511577,-0.013021419971782078,1
Data,Post-IPO,United States,311.0,317763000.0,-0.8039715875354606,0.045112804036393284,0
Data,Post-IPO,United States,311.0,307445000.0,-0.4431450307542894,0.08688672399006014,0
Data,Post-IPO,United States,311.0,300422000.0,-0.4187317440874399,0.07366866299773389,0
Data,Post-IPO,United States,311.0,310024000.0,-0.4226389127816962,0.0954489776688967,0
Data,Post-IPO,United States,311.0,247248000.0,-0.3658908689583536,0.05993462927920179,0
Data,Post-IPO,United States,311.0,230465000.0,-0.36846057188390696,0.059142402700684826,1
